district,year,living_waste,living_recycle,living_incineration,living_landfill,industrial_waste,construction_waste,designated_waste,per_capita_living_waste,total_waste,total_recycle,total_incineration,total_landfill,household_waste,biz_nonbiz_waste,recycle_rate,incineration_rate,landfill_rate,total_recycle_rate,total_incineration_rate,total_landfill_rate
강서구,2024,590910,270188,50371,14385,394974,865288,6893,2.87,1858065,1256963,112700,14562,378319.2,212590.8,0.4572,0.0852,0.0243,0.6765,0.0607,0.0078
구로구,2020,120646,63150,39947,17541,749,343400,3141,0.76,467935,395762,43015,28971,75811.1,44834.9,0.5234,0.3311,0.1454,0.8458,0.0919,0.0619
구로구,2021,136224,76846,40405,18687,980,306369,3901,0.89,447475,364499,43080,39380,84787.8,51436.2,0.5641,0.2966,0.1372,0.8146,0.0963,0.088
구로구,2022,134033,80101,37846,15879,1581,373662,3636,0.88,512912,456143,40343,16083,83054.8,50978.2,0.5976,0.2824,0.1185,0.8893,0.0787,0.0314
구로구,2023,171610,119509,39364,12648,1504,269093,3443,1.13,445650,390895,41614,12961,107292.8,64317.2,0.6964,0.2294,0.0737,0.8771,0.0934,0.0291
구로구,2024,122831,71343,44102,7011,4102,171986,3490,0.81,302409,244974,46985,10004,76814.8,46016.2,0.5808,0.359,0.0571,0.8101,0.1554,0.0331
금천구,2020,100451,69075,5749,24736,3226,1282695,2514,1.11,1388885,1330633,6975,49595,47083.1,53367.9,0.6876,0.0572,0.2462,0.9581,0.005,0.0357
금천구,2021,98645,62226,11718,24175,447,392645,2595,1.1,494331,440293,12965,40068,46823.4,51821.6,0.6308,0.1188,0.2451,0.8907,0.0262,0.0811
금천구,2022,99931,65228,11294,22984,1291,315288,2873,1.13,419382,382537,12466,23365,47222.9,52708.1,0.6527,0.113,0.23,0.9121,0.0297,0.0557
금천구,2023,101244,64988,11071,21475,858,261932,2818,1.15,366852,328279,12053,21798,47635.1,53608.9,0.6419,0.1093,0.2121,0.8949,0.0329,0.0594
금천구,2024,96694,64032,10564,21528,3077,122849,2969,1.11,225590,190625,11544,21685,45091.1,51602.9,0.6622,0.1093,0.2226,0.845,0.0512,0.0961
영등포구,2020,164492,108772,44477,9801,20695,598226,5778,1.1,789191,725302,47526,13029,76668.0,87824.0,0.6613,0.2704,0.0596,0.919,0.0602,0.0165
영등포구,2021,161206,112103,32519,14311,16433,520027,5380,1.1,703046,643041,35268,21485,74826.7,86379.3,0.6954,0.2017,0.0888,0.9146,0.0502,0.0306
영등포구,2022,167303,113275,39621,13033,31221,622319,4808,1.15,825651,762953,42534,13450,77698.9,89604.1,0.6771,0.2368,0.0779,0.9241,0.0515,0.0163
영등포구,2023,166688,114964,40194,10454,16535,379065,4831,1.15,567119,510750,43506,11152,77130.5,89557.5,0.6897,0.2411,0.0627,0.9006,0.0767,0.0197
영등포구,2024,158377,106906,42491,7829,16008,414191,4706,1.09,593281,538286,44896,8177,72530.5,85846.5,0.675,0.2683,0.0494,0.9073,0.0757,0.0138
동작구,2020,118757,86746,24316,6850,961,348708,3509,0.81,471935,434075,26941,9709,92575.5,26181.5,0.7304,0.2048,0.0577,0.9198,0.0571,0.0206
동작구,2021,108554,71943,25098,11143,1524,259969,3786,0.75,373833,333856,27629,11705,84577.1,23976.9,0.6627,0.2312,0.1026,0.8931,0.0739,0.0313
동작구,2022,118013,77044,26806,13606,2165,268178,3337,0.83,391694,347999,28958,13848,92102.7,25910.3,0.6528,0.2271,0.1153,0.8884,0.0739,0.0354
동작구,2023,116719,79700,26679,9967,572,291544,3192,0.82,412026,372016,29037,10416,91071.8,25647.2,0.6828,0.2286,0.0854,0.9029,0.0705,0.0253
동작구,2024,119527,80659,27158,9166,2403,862392,2762,0.84,987083,945710,29140,9484,92623.5,26903.5,0.6748,0.2272,0.0767,0.9581,0.0295,0.0096
관악구,2020,146977,103521,11177,32279,355,447090,2654,0.79,597075,551255,12452,33291,115360.2,31616.8,0.7043,0.076,0.2196,0.9233,0.0209,0.0558
관악구,2021,146143,87868,40409,17867,12576,472448,3081,0.8,634248,573271,42025,18944,115583.2,30559.8,0.6012,0.2765,0.1223,0.9039,0.0663,0.0299
관악구,2022,161574,109513,32082,19980,230,328164,3025,0.88,492993,438911,33468,20503,128266.9,33307.1,0.6778,0.1986,0.1237,0.8903,0.0679,0.0416
