"자치구별(1)","시점",주민 1인당 생활폐기물(쓰레기) 배출량 (㎏/인 일),생활계폐기물 배출량 (톤/일),주민수 (명)
"송파구","2013",0.89,599.8,674955
"송파구","2014",0.83,555.5,671794
"송파구","2015",0.86,575.7,667480
"송파구","2016",0.86,569.7,664946
"송파구","2017",0.82,550.3,671173
"송파구","2018",0.91,611.8,673507
"송파구","2019",1.18,808.2,682741
"송파구","2020",1.08,727.5,673926
"송파구","2021",1.04,693.7,663965
"송파구","2022",1.24,826.9,664514
"송파구","2023",1.09,718.3,660025
"송파구","2024",1.12,734.7,656310
"강동구","2009",0.87,426.4,489655
"강동구","2010",0.52,258.5,496939
"강동구","2011",0.52,262.7,500516
"강동구","2012",0.52,258.6,492728
"강동구","2013",0.50,246.4,487969
"강동구","2014",0.82,392.6,481332
"강동구","2015",0.89,412.4,463321
"강동구","2016",1.12,500.2,448471
"강동구","2017",0.85,375.0,440359
"강동구","2018",0.86,370.1,431920
"강동구","2019",0.95,419.9,440390
"강동구","2020",0.79,368.0,463998
"강동구","2021",0.86,401.7,466472
"강동구","2022",0.75,345.9,464037
"강동구","2023",0.73,336.4,463318
"강동구","2024",0.74,354.0,481474
