"기준_년분기_코드","행정동_코드","행정동_코드_명","월_평균_소득_금액","소득_구간_코드","지출_총금액","식료품_지출_총금액","의류_신발_지출_총금액","생활용품_지출_총금액","의료비_지출_총금액","교통_지출_총금액","교육_지출_총금액","유흥_지출_총금액","여가_문화_지출_총금액","기타_지출_총금액","음식_지출_총금액"
"20243","11200","성동구","","07","34121909000","7382555000","1387362000","426547000","5050117000","2141594000","1223405000","899114000","2490080000","3967730000","9153405000"
"20243","11170","용산구","","08","96311255000","55416486000","1019581000","2885193000","2132619000","1023491000","510376000","1146879000","10067689000","10027735000","12081206000"
"20243","11140","중구","","07","1021301626000","14674757000","3061237000","2185419000","5296958000","140874015000","9016627000","1027237000","807412181000","24780227000","12972968000"
"20243","11110","종로구","","07","76268855000","5897143000","1741450000","361681000","8346341000","1962296000","2387258000","1614892000","6544394000","31257954000","16155446000"
"20242","11740","강동구","","07","157864735000","23331462000","2428563000","1590537000","21974063000","3736967000","6822469000","2666873000","66151709000","3909040000","25253052000"
"20242","11710","송파구","","08","377714993000","39991266000","7862394000","3777834000","41102065000","9279118000","10887384000","5057002000","200960475000","8386208000","50411247000"
"20242","11680","강남구","","09","2702405974000","43256745000","32591449000","6586995000","131468635000","28136322000","36557454000","10037077000","1386452708000","944077351000","83241238000"
"20242","11650","서초구","","09","620118510000","23193460000","5627117000","14623878000","64445170000","6511267000","13492072000","4652029000","257913782000","181188434000","48471301000"
"20242","11620","관악구","","06","121049434000","29978597000","3027037000","1528411000","18331935000","2956441000","14655744000","5137957000","9549715000","4608357000","31275240000"
"20242","11590","동작구","","07","184191389000","25083858000","1417762000","1498642000","16922171000","98776589000","4521986000","2544946000","4395424000","4361703000","24668308000"
"20242","11560","영등포구","","07","263727148000","27713523000","4246037000","2909528000","24856058000","75368918000","4097049000","4421307000","47080588000","24806630000","48227510000"
"20242","11545","금천구","","06","74531440000","16127021000","13346786000","1131244000","9214178000","3711147000","1608042000","1774020000","11551671000","2190171000","13877160000"
"20242","11530","구로구","","07","1614231673000","25791602000","1836446000","2096310000","23115656000","4420522000","3847559000","3028235000","1523729762000","3779414000","22586167000"
"20242","11500","강서구","","07","231352477000","34067640000","6533371000","2276283000","32773565000","33678827000","6986997000","4639547000","55668619000","16818036000","37909592000"
"20242","11470","양천구","","08","109856039000","27000349000","1645174000","1151161000","21961261000","5861411000","13966699000","2070427000","11024895000","3784860000","21389802000"
"20242","11440","마포구","","08","1214360961000","33036770000","7987924000","2930999000","20376075000","4233535000","9334988000","7908183000","1064503684000","8816265000","55232538000"
"20242","11410","서대문구","","07","117485628000","18028116000","1438586000","764641000","59138407000","3487244000","4035585000","1836999000","4451243000","3193474000","21111333000"
"20242","11380","은평구","","06","92705118000","23222798000","4530132000","1650060000","19875679000","4528024000","5260194000","2914969000","4804434000","3693901000","22224927000"
"20242","11350","노원구","","07","127519468000","39770070000","1835046000","1322462000","20141840000","4482120000","8814196000","3272287000","13468885000","5298046000","29114516000"
"20242","11320","도봉구","","06","52531543000","15820270000","1049162000","969611000","7223414000","4838645000","2527353000","1445936000","3111638000","1924579000","13620935000"
"20242","11305","강북구","","06","62313292000","15230398000","1903948000","1170753000","11549614000","3446738000","1615357000","2747174000","3891378000","3077577000","17680355000"
"20242","11290","성북구","","07","87219766000","23869876000","1950228000","1127130000","12188833000","5704066000","4368361000","2574687000","7372858000","3466065000","24597662000"
"20242","11260","중랑구","","06","69386912000","20448332000","1469181000","1188714000","11571983000","4953305000","2507087000","2847471000","3890194000","2687014000","17823631000"
"20242","11230","동대문구","","07","93548964000","26546047000","3017121000","1617823000","21298528000","5354893000","3231565000","2179963000","4973868000","2284796000","23044360000"
"20242","11215","광진구","","07","100541241000","22634699000","3375381000","1864827000","15005146000","5961023000","3393363000","4281862000","6687173000","5054612000","32283155000"
"20242","11200","성동구","","07","94895025000","21362454000","4490238000","1259258000","13788783000","6307435000","3065191000","2642940000","6565153000","7920333000","27493240000"
"20242","11170","용산구","","08","262886393000","151357169000","3483070000","8078265000","5790965000","2734694000","1627184000","3108522000","25468449000","27442505000","33795570000"
