year,gu,waste_total,waste_per_capita,food_waste_total,recycle_rate,total_pop,households,elderly_ratio,parcel_arrival_total,arrival_per_hh,living_pop_daily_avg,day_night_ratio,biz_total,food_accom_biz,illegal_dumping_count
2021,양천구,128894,353.1,88.7,67.18854252331373,450487,181404,15.233957916654642,,,9221529.78085424,0.9248097917018036,37929,6507,1504
2021,영등포구,161206,441.7,131.6,69.5402156247286,400908,187020,15.593602522274436,,,10996353.591698902,1.1850766126415235,74562,5793,2808
2021,용산구,107173,293.6,62.7,63.760462056674726,237285,111036,16.465431864635356,,,6685056.856546414,1.1247523370597252,29680,1739,1042
2021,은평구,138304,378.9,77.9,60.40316982878296,477173,214711,18.282886919419163,,,10445083.768167283,0.8718328725741933,36509,5095,4386
2021,종로구,83878,229.8,69.3,54.13099978540261,153789,73494,18.088419847973523,,,6400907.572882463,1.4756996480782347,48361,1699,15535
2021,중구,108816,298.1,78.5,46.05297015144832,131787,63519,18.508654116111604,,,5853972.807506111,1.728488013412494,70308,2325,11434
2021,중랑구,105213,288.3,84.2,61.00767015482877,391885,185712,18.2915906452148,,,8435326.467784824,0.8873850742744251,39310,5830,7194
2022,강남구,263297,721.4,245.4,61.99235084334421,534103,232777,15.299483432970796,,,19299439.16318451,1.3468501418965482,107804,4344,16987
2022,강동구,126256,345.9,113.1,71.38512229121784,464037,202169,16.882274473802735,,,11996736.039737243,0.9062934288968748,43157,6418,10496
2022,강북구,89627,245.6,63.2,68.36332801499549,297702,144313,22.27294408502462,,,6878110.635025528,0.8978166720536611,26114,3316,2827
2022,강서구,585756,1604.8,128.7,46.82376279543018,574638,273697,16.902467292451945,,,12915512.455772704,0.9588861604155676,59660,9712,507
2022,관악구,161574,442.7,92.5,67.77885055763923,501226,283623,16.449066887990647,,,11167655.679176746,0.8711348997193279,36814,4667,3924
2022,광진구,120644,330.5,83.3,78.9479791784092,351252,169291,15.39379135207771,,,8576296.950847562,0.9521253955581926,33325,2997,2532
2022,구로구,134033,367.2,77.4,59.7621481276999,418418,183655,18.13736502731718,,,9206319.529298922,0.9804730636589024,52988,6146,4891
2022,금천구,99931,273.8,55.2,65.27303839649358,242818,119583,17.679084746600335,,,5240092.110218558,1.116499191043984,48438,3543,2709
2022,노원구,145778,399.4,116.2,73.3231351781476,508014,217540,18.11761093198219,,,11893196.605935656,0.9132545114386832,38018,6791,2587
2022,도봉구,94263,258.3,71.8,74.33351367981075,313989,138356,21.337690173859595,,,6453909.180186796,0.8992752760099813,25193,5278,672
2022,동대문구,108075,296.1,85.6,63.21998612074948,353601,169873,18.231848891830055,,,8275345.688898192,0.9829653213072476,42491,4203,3304
2022,동작구,118013,323.3,80.6,65.2843330819486,390432,185773,17.47577042865339,,,9104595.124059426,0.909524272362608,27120,2260,1643
2022,마포구,152394,417.5,81.0,57.83298555061223,375585,180084,14.887176005431527,,,10687172.971333336,1.0965409915431292,55516,4099,4674
2022,서대문구,107631,294.9,63.1,62.44111826518383,319554,145797,17.5231729222604,,,8515877.341835544,1.0280145427366512,28427,3775,1644
2022,서초구,180281,493.9,144.5,62.67548992960988,408451,167749,15.264254463815732,,,13339936.061868295,1.272986504940831,69975,4347,11224
2022,성동구,104584,286.5,76.6,63.70286085825748,288234,133305,16.555992700375388,,,8164938.348603721,1.0790286447204327,41306,3114,1140
2022,성북구,125909,345.0,91.9,67.5749946389853,441984,197082,17.52891507384883,,,9959852.072256804,0.9131405843427508,35162,3921,1445
2022,송파구,301830,826.9,212.8,58.65951032037901,664514,284853,15.586278091958937,,,17790253.365525384,1.0132341205723865,74738,8881,6343
2022,양천구,123688,338.9,90.0,65.14940818834486,444010,181187,16.304362514357784,,,8907505.136765098,0.911537305384517,37774,6526,1366
2022,영등포구,167303,458.4,134.8,67.70649659599648,398085,188832,16.28044261903865,,,11264718.82738699,1.1966473708144476,75470,6442,2779
2022,용산구,216363,592.8,64.9,82.48683924700619,233284,109805,16.73368083537662,,,6791448.804562039,1.135919809706466,28047,1754,977
2022,은평구,128783,352.8,75.7,56.26596678132984,470602,213876,19.050067785517275,,,10299995.83956398,0.8633488618246205,36430,4930,4758
2022,종로구,104369,285.9,75.5,59.40748689745039,152211,72524,18.36792347465032,,,6633723.781890981,1.5133899317710455,47595,1832,17064
2022,중구,118766,325.4,90.6,56.052237172254685,130785,63139,19.157395725809533,,,6200637.874666024,1.7755766934723958,68143,2319,6990
2022,중랑구,104375,286.0,83.5,60.74634730538923,390140,187413,19.20336289537089,,,8355761.191143278,0.8809315947083127,40320,6458,4270
2023,강남구,261425,716.2,235.3,61.75270153963852,550282,239775,15.738475908715897,10032853.0,41.84278177458034,19543105.994685147,1.356774163719609,104299,4198,11597
2023,강동구,122793,336.4,105.6,71.4128655542254,463318,203734,17.91080855913217,5398612.0,26.49833606565424,11954217.126081808,0.9044347563636596,43358,6174,8176
2023,강북구,88886,243.5,60.6,69.89627162882793,292977,143560,23.420609808961117,3048036.0,21.231791585399836,6668592.316163783,0.8943370385476641,26310,3497,2807
2023,강서구,490315,1343.3,122.3,45.23826519686324,568826,274084,17.948546655743584,7593199.0,27.70391193940544,12817741.235930352,0.9610348510018516,59969,9547,1844
